ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2002-01-01,40185.39472603726,7497.987184144288,32174.31806441513,40185.39472603726,40185.39472603726,-19349.482897499023,-19349.482897499023,-19349.482897499023,-19349.482897499023,-19349.482897499023,-19349.482897499023,0.0,0.0,0.0,20835.911828538236
2003-01-01,41572.144381100275,9751.763270925203,33889.36732376051,41572.144381100275,41572.144381100275,-19007.529027834968,-19007.529027834968,-19007.529027834968,-19007.529027834968,-19007.529027834968,-19007.529027834968,0.0,0.0,0.0,22564.615353265308
2004-01-01,42959.03182949662,11892.24281364525,36983.62005688625,42959.03182949662,42959.03182949662,-18419.239471397574,-18419.239471397574,-18419.239471397574,-18419.239471397574,-18419.239471397574,-18419.239471397574,0.0,0.0,0.0,24539.792358099046
2005-01-01,44349.78796131302,12703.871413510538,37469.95138837973,44349.78796131302,44349.78796131302,-19444.683102175015,-19444.683102175015,-19444.683102175015,-19444.683102175015,-19444.683102175015,-19444.683102175015,0.0,0.0,0.0,24905.104859138006
2006-01-01,45736.7757053688,14067.3600288913,39006.13850714481,45736.7757053688,45736.7757053688,-19349.482897500122,-19349.482897500122,-19349.482897500122,-19349.482897500122,-19349.482897500122,-19349.482897500122,0.0,0.0,0.0,26387.292807868675
2007-01-01,47123.76344942455,16209.061170741406,40977.594599457676,47123.76344942455,47123.76344942455,-19007.529027836586,-19007.529027836586,-19007.529027836586,-19007.529027836586,-19007.529027836586,-19007.529027836586,0.0,0.0,0.0,28116.234421587964
2008-01-01,48510.75119524949,17552.947583342797,42819.9987227541,48510.75119524949,48510.75119524949,-18419.239471393095,-18419.239471393095,-18419.239471393095,-18419.239471393095,-18419.239471393095,-18419.239471393095,0.0,0.0,0.0,30091.511723856394
2009-01-01,49901.53890702365,18266.06090069686,42965.06256366023,49901.53890702365,49901.53890702365,-19444.683102174662,-19444.683102174662,-19444.683102174662,-19444.683102174662,-19444.683102174662,-19444.683102174662,0.0,0.0,0.0,30456.855804848987
2010-01-01,51288.526731083584,19829.25818888581,44549.312462093556,51288.526731083584,51288.526731083584,-19349.48289749943,-19349.48289749943,-19349.48289749943,-19349.48289749943,-19349.48289749943,-19349.48289749943,0.0,0.0,0.0,31939.043833584154
2011-01-01,52675.51455491489,20208.816952686288,45867.44637891897,52675.51455491489,52675.51455491489,-19007.529027836106,-19007.529027836106,-19007.529027836106,-19007.529027836106,-19007.529027836106,-19007.529027836106,0.0,0.0,0.0,33667.98552707878
